,time,values,metric data
0,2022-04-23 23:01:53.678999808+00:00,7.317622,__name__: NooBaa_Endpoint_process_cpu_seconds_total
1,2022-04-23 23:02:04.687000064+00:00,8.334622,cluster: moc/smaug
2,2022-04-23 23:02:34.687000064+00:00,13.310588,endpoint: metrics
3,2022-04-23 23:03:04.687000064+00:00,19.381904,instance: 10.130.7.135:7004
4,2022-04-23 23:03:34.687000064+00:00,27.800628,job: s3
5,2022-04-23 23:04:04.687000064+00:00,36.223788,namespace: openshift-storage
6,2022-04-23 23:04:34.687000064+00:00,42.81342,pod: noobaa-endpoint-84799dddf5-zhgwr
7,2022-04-23 23:05:04.687000064+00:00,48.577414000000005,prometheus: openshift-monitoring/k8s
8,2022-04-23 23:05:34.687000064+00:00,55.319103000000005,service: s3
9,2022-04-23 23:06:04.687000064+00:00,62.418285000000004,tenant_id: moc-smaug
10,2022-04-23 23:06:34.687000064+00:00,68.790248,
11,2022-04-23 23:07:04.687000064+00:00,72.843362,
12,2022-04-23 23:07:34.687000064+00:00,79.040656,
