,time,values,metric data
0,2022-04-23 13:01:15.812999936+00:00,6.249157,__name__: NooBaa_Endpoint_process_cpu_seconds_total
1,2022-04-23 13:01:30.701999872+00:00,8.501045000000001,cluster: moc/smaug
2,2022-04-23 13:02:00.701999872+00:00,23.026597000000002,endpoint: metrics
3,2022-04-23 13:02:30.701999872+00:00,29.93936,instance: 10.129.8.174:7004
4,2022-04-23 13:03:00.701999872+00:00,38.426097,job: s3
5,2022-04-23 13:03:30.701999872+00:00,50.605633999999995,namespace: openshift-storage
6,2022-04-23 13:04:00.701999872+00:00,57.90855499999999,pod: noobaa-endpoint-84799dddf5-lrcm9
7,2022-04-23 13:04:30.701999872+00:00,70.239565,prometheus: openshift-monitoring/k8s
8,2022-04-23 13:05:00.701999872+00:00,80.373678,service: s3
9,2022-04-23 13:05:30.701999872+00:00,90.07576900000001,tenant_id: moc-smaug
10,2022-04-23 13:06:00.701999872+00:00,98.577997,
11,2022-04-23 13:06:30.701999872+00:00,109.085681,
12,2022-04-23 13:07:00.701999872+00:00,119.426298,
13,2022-04-23 13:07:30.701999872+00:00,126.279348,
