,time,values,metric data
0,1650631889.36,62974.523903999885,__name__: NooBaa_Endpoint_process_cpu_seconds_total
1,1650631899.445,62980.47264999989,cluster: moc/smaug
2,1650631929.445,62990.60836499989,endpoint: metrics
3,1650631959.45,63007.86190899989,instance: 10.129.0.40:7004
4,1650631989.445,63026.31025099989,job: s3
5,1650632019.445,63040.6705809999,namespace: openshift-storage
6,1650632049.445,63053.0129229999,pod: noobaa-endpoint-84799dddf5-j6f6m
7,1650632079.445,63067.3241009999,prometheus: openshift-monitoring/k8s
8,1650632109.445,63078.3581919999,service: s3
9,1650632139.445,63090.9448089999,tenant_id: moc-smaug
10,1650632169.445,63108.636020999904,
11,1650632199.445,63122.87038899991,
12,1650632229.445,63133.23196799991,
13,1650632259.445,63148.20696199991,
14,1650632289.445,63161.27493299991,
15,1650632319.445,63175.87718399992,
16,1650632349.445,63192.20610799992,
17,1650632379.445,63210.47621599992,
18,1650632409.445,63224.55923699993,
19,1650632439.445,63252.34691899993,
20,1650632469.445,63279.124267999934,
21,1650632499.445,63306.738692999934,
22,1650632529.445,63336.670804999936,
23,1650632559.445,63363.68952999993,
24,1650632589.445,63377.53842899993,
25,1650632619.445,63389.31218099993,
26,1650632649.445,63401.55568999993,
27,1650632679.445,63417.90942999993,
28,1650632709.445,63431.16039599993,
29,1650632739.445,63435.30236899993,
30,1650632769.445,63444.08769299993,
31,1650632799.445,63450.06768399993,
32,1650632829.445,63456.15169499993,
33,1650632859.445,63463.62213499993,
34,1650632889.448,63471.12241699993,
35,1650632919.445,63481.09212499994,
36,1650632949.445,63489.57200299994,
37,1650632979.445,63501.836067999946,
38,1650633009.445,63519.571237999946,
39,1650633039.445,63538.95905299994,
40,1650633069.445,63548.40795599994,
41,1650633099.445,63568.550616999935,
42,1650633129.445,63584.907237999934,
43,1650633159.445,63599.521991999936,
44,1650633189.445,63609.312696999936,
45,1650633219.445,63622.300142999935,
46,1650633249.445,63636.30843399994,
47,1650633279.445,63651.65680099994,
48,1650633309.445,63663.92950299994,
49,1650633339.445,63679.68837699994,
50,1650633369.445,63690.22990299994,
51,1650633399.445,63706.21587399994,
52,1650633429.445,63719.31284299995,
53,1650633459.445,63729.32462999995,
54,1650633489.445,63741.85823899995,
55,1650633519.445,63756.09072099995,
56,1650633549.448,63769.06537799995,
57,1650633579.445,63785.22172399995,
58,1650633609.445,63802.86270599995,
59,1650633639.445,63815.649469999946,
60,1650633669.445,63827.85672699995,
61,1650633699.445,63842.987092999945,
62,1650633729.445,63852.92535899995,
63,1650633759.449,63868.21906299995,
64,1650633789.445,63880.31549099995,
65,1650633819.445,63896.09997399995,
66,1650633849.445,63910.40044699995,
67,1650633879.445,63924.37932599995,
68,1650633909.445,63936.88215999995,
69,1650633939.445,63946.16282999995,
70,1650633969.445,63958.25058099996,
71,1650633999.445,63972.80306799996,
72,1650634029.445,63991.964192999956,
73,1650634059.445,64004.55113499996,
74,1650634089.445,64016.02885499995,
75,1650634119.445,64030.42068599995,
76,1650634149.445,64041.37831499995,
77,1650634179.445,64055.28159899995,
78,1650634209.445,64067.02383999995,
79,1650634239.445,64083.122239999946,
80,1650634269.445,64097.49133299994,
81,1650634299.445,64110.94402199994,
82,1650634329.445,64123.71834499994,
83,1650634359.445,64136.02372099995,
84,1650634389.445,64149.89122899995,
85,1650634419.445,64172.08598699995,
86,1650634449.445,64185.53597299995,
87,1650634479.445,64200.087076999946,
88,1650634509.445,64211.211600999944,
89,1650634539.445,64226.24316099995,
90,1650634569.445,64240.84743099995,
91,1650634599.445,64251.73134699996,
92,1650634629.445,64267.62102999996,
93,1650634659.445,64283.46678499996,
94,1650634689.445,64297.368488999964,
95,1650634719.445,64315.44812699996,
96,1650634749.445,64329.93112899996,
97,1650634779.445,64344.238357999966,
98,1650634809.445,64367.26772199997,
99,1650634839.445,64381.21101099996,
100,1650634869.445,64393.48048199996,
101,1650634899.445,64412.16215699996,
102,1650634929.445,64417.654616999964,
103,1650634959.445,64435.574987999964,
104,1650634989.445,64456.161931999966,
105,1650635019.445,64470.275040999964,
106,1650635049.445,64482.865738999964,
107,1650635079.445,64502.606029999966,
108,1650635109.445,64524.59300599997,
109,1650635139.445,64542.57862999997,
110,1650635169.445,64549.45434499996,
111,1650635199.445,64557.70634599996,
112,1650635229.445,64574.49505599996,
113,1650635259.445,64598.38390999996,
114,1650635289.445,64612.409853999954,
115,1650635319.445,64626.80306499996,
116,1650635349.445,64640.622826999956,
117,1650635379.445,64652.174107999956,
118,1650635409.445,64666.79518399996,
119,1650635439.445,64687.83853599996,
120,1650635469.445,64703.419579999965,
121,1650635499.445,64719.497018999966,
122,1650635529.445,64736.07536599996,
123,1650635559.445,64751.21822799996,
124,1650635589.445,64755.809927999966,
125,1650635619.445,64770.370084999966,
126,1650635649.445,64794.62587099997,
127,1650635679.445,64819.15895799997,
128,1650635709.445,64842.93262499997,
129,1650635739.445,64858.02684999997,
130,1650635769.445,64873.36401499998,
131,1650635799.445,64891.46898299998,
132,1650635829.445,64908.46774899998,
133,1650635859.445,64925.83176399999,
134,1650635889.445,64943.832228999985,
135,1650635919.445,64966.76805999998,
136,1650635949.445,64987.65795799998,
137,1650635979.445,65006.93752999998,
138,1650636009.445,65027.340860999975,
139,1650636039.445,65039.267352999974,
140,1650636069.445,65044.54331199997,
141,1650636099.445,65052.448863999976,
142,1650636129.445,65069.84026399998,
143,1650636159.445,65093.87075199998,
144,1650636189.445,65117.47687899998,
145,1650636219.445,65137.47925799998,
146,1650636249.445,65151.44727699998,
147,1650636279.445,65174.16482999998,
148,1650636309.447,65200.46241499998,
149,1650636339.445,65217.47240399998,
150,1650636369.445,65234.06521899998,
151,1650636399.445,65241.83778499998,
152,1650636429.447,65247.013236999985,
153,1650636459.445,65264.03257299998,
154,1650636489.445,65279.592459999985,
155,1650636519.445,65299.297799999986,
156,1650636549.445,65320.100562999985,
157,1650636579.445,65338.362037999985,
158,1650636609.445,65355.352148999984,
159,1650636639.445,65365.75864399999,
160,1650636669.445,65366.91474899999,
161,1650636699.445,65372.19892099999,
162,1650636729.445,65378.00072999999,
163,1650636759.445,65389.025365999994,
164,1650636789.445,65410.43032399999,
165,1650636819.445,65439.08895399999,
166,1650636849.445,65466.46505999999,
167,1650636879.445,65484.87202099998,
168,1650636909.445,65498.712792999984,
169,1650636939.445,65512.87371699999,
170,1650636969.445,65518.206113999986,
171,1650636999.445,65521.957550999985,
172,1650637029.445,65532.986690999984,
173,1650637059.445,65541.86871699999,
174,1650637089.445,65550.64951999999,
175,1650637119.445,65560.95998599999,
176,1650637149.447,65572.51417999998,
177,1650637179.445,65585.22771299999,
178,1650637209.445,65593.19592499998,
179,1650637239.445,65603.01451599998,
180,1650637269.445,65611.35898699999,
181,1650637299.445,65621.21342099998,
182,1650637329.445,65628.65403299997,
183,1650637359.445,65639.91272299997,
184,1650637389.445,65644.79182899997,
185,1650637419.445,65655.52899499997,
186,1650637449.445,65664.43754099996,
187,1650637479.445,65675.02257899997,
188,1650637509.445,65682.52557599997,
189,1650637539.445,65693.09634799998,
190,1650637569.445,65706.45477999997,
191,1650637599.445,65718.76681499997,
192,1650637629.445,65735.55801799997,
193,1650637659.445,65747.01284099996,
194,1650637689.445,65751.83002899996,
195,1650637719.445,65764.27604899996,
196,1650637749.445,65776.82502599996,
197,1650637779.445,65790.79041199996,
198,1650637809.445,65803.65674999997,
199,1650637839.445,65822.06670799997,
200,1650637869.445,65838.28936199998,
201,1650637899.445,65852.13001599998,
202,1650637929.445,65862.32314399998,
203,1650637959.445,65877.30028399998,
204,1650637989.445,65892.09736799999,
205,1650638019.445,65904.96281499999,
206,1650638049.445,65921.875619,
207,1650638079.445,65936.23348299999,
