timestamp,__name__,cluster,label_kubernetes_io_arch,label_node_openshift_io_os_id,prometheus,tenant_id,value
2022-04-13 10:20:22.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
2022-04-13 10:20:52.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
2022-04-13 10:21:22.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
2022-04-13 10:21:52.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
2022-04-13 10:22:22.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
2022-04-13 10:22:52.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
2022-04-13 10:23:22.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
2022-04-13 10:23:52.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
2022-04-13 10:24:22.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
2022-04-13 10:24:52.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
2022-04-13 10:25:22.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
2022-04-13 10:25:52.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
2022-04-13 10:26:22.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
2022-04-13 10:26:52.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
2022-04-13 10:27:22.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
2022-04-13 10:27:52.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
2022-04-13 10:28:22.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
2022-04-13 10:28:52.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
2022-04-13 10:29:22.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
2022-04-13 10:29:52.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
2022-04-13 10:30:22.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
2022-04-13 10:30:52.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
2022-04-13 10:31:22.563000064+00:00,cluster:capacity_cpu_cores:sum,moc/smaug,amd64,rhcos,openshift-monitoring/k8s,moc-smaug,936
