,time,values,metric data
0,2022-04-24 01:01:40.507000064+00:00,3.313772,__name__: NooBaa_Endpoint_process_cpu_seconds_total
1,2022-04-24 01:02:00.530999808+00:00,4.482752,cluster: moc/smaug
2,2022-04-24 01:02:30.530999808+00:00,11.745018,endpoint: metrics
3,2022-04-24 01:03:00.530999808+00:00,18.671233,instance: 10.130.7.142:7004
4,2022-04-24 01:03:30.530999808+00:00,24.206474,job: s3
5,2022-04-24 01:04:00.530999808+00:00,29.098720999999998,namespace: openshift-storage
6,2022-04-24 01:04:30.530999808+00:00,32.384882999999995,pod: noobaa-endpoint-84799dddf5-ftd8x
7,2022-04-24 01:05:00.530999808+00:00,39.068653999999995,prometheus: openshift-monitoring/k8s
8,2022-04-24 01:05:30.530999808+00:00,43.06890899999999,service: s3
9,2022-04-24 01:06:00.530999808+00:00,47.57610699999999,tenant_id: moc-smaug
10,2022-04-24 01:06:30.530999808+00:00,51.772012999999994,
11,2022-04-24 01:07:00.530999808+00:00,55.350204999999995,
12,2022-04-24 01:07:30.530999808+00:00,60.091919,
13,2022-04-24 01:08:00.530999808+00:00,62.491046,
