,time,values,metric data
0,2022-04-23 15:44:18.128000+00:00,2.416356,__name__: NooBaa_Endpoint_process_cpu_seconds_total
1,2022-04-23 15:44:48.128000+00:00,2.8281219999999996,cluster: moc/smaug
2,2022-04-23 15:45:18.128000+00:00,3.321163,endpoint: metrics
3,2022-04-23 15:45:48.128000+00:00,3.6617789999999997,instance: 10.130.7.109:7004
4,2022-04-23 15:46:18.128000+00:00,4.425719999999999,job: s3
5,2022-04-23 15:46:48.128000+00:00,5.176009999999999,namespace: openshift-storage
6,2022-04-23 15:47:18.128000+00:00,5.559067999999999,pod: noobaa-endpoint-84799dddf5-6zkqt
7,2022-04-23 15:47:48.128000+00:00,6.326159999999999,prometheus: openshift-monitoring/k8s
8,2022-04-23 15:48:18.128000+00:00,15.411549999999998,service: s3
9,2022-04-23 15:48:48.128000+00:00,16.334106,tenant_id: moc-smaug
10,2022-04-23 15:49:18.128000+00:00,17.185088999999998,
11,2022-04-23 15:49:48.128000+00:00,21.515348999999997,
