,time,values,metric data
0,2022-04-24 09:01:44.351000064+00:00,5.821601,__name__: NooBaa_Endpoint_process_cpu_seconds_total
1,2022-04-24 09:02:14.351000064+00:00,17.620201,cluster: moc/smaug
2,2022-04-24 09:02:44.351000064+00:00,38.681362,endpoint: metrics
3,2022-04-24 09:03:14.351000064+00:00,42.476588,instance: 10.129.8.193:7004
4,2022-04-24 09:03:44.351000064+00:00,55.494342,job: s3
5,2022-04-24 09:04:14.351000064+00:00,63.87427,namespace: openshift-storage
6,2022-04-24 09:04:44.351000064+00:00,72.625848,pod: noobaa-endpoint-84799dddf5-84b2v
7,2022-04-24 09:05:14.351000064+00:00,73.803987,prometheus: openshift-monitoring/k8s
8,2022-04-24 09:05:44.351000064+00:00,77.14500300000002,service: s3
9,2022-04-24 09:06:14.351000064+00:00,79.54523500000002,tenant_id: moc-smaug
10,2022-04-24 09:06:44.351000064+00:00,83.92734200000001,
11,2022-04-24 09:07:14.351000064+00:00,86.35708900000002,
