,time,values,metric data
0,2022-04-24 05:01:49.575000064+00:00,3.703606,__name__: NooBaa_Endpoint_process_cpu_seconds_total
1,2022-04-24 05:02:00.066999808+00:00,6.792576,cluster: moc/smaug
2,2022-04-24 05:02:30.066999808+00:00,19.646003,endpoint: metrics
3,2022-04-24 05:03:00.066999808+00:00,28.246718,instance: 10.130.7.157:7004
4,2022-04-24 05:03:30.066999808+00:00,33.654649,job: s3
5,2022-04-24 05:04:00.066999808+00:00,39.757491,namespace: openshift-storage
6,2022-04-24 05:04:30.066999808+00:00,45.062481000000005,pod: noobaa-endpoint-84799dddf5-hlvf5
7,2022-04-24 05:05:00.066999808+00:00,49.49124200000001,prometheus: openshift-monitoring/k8s
8,2022-04-24 05:05:30.066999808+00:00,53.78026800000001,service: s3
9,2022-04-24 05:06:00.066999808+00:00,58.00459300000001,tenant_id: moc-smaug
10,2022-04-24 05:06:30.066999808+00:00,64.63653000000001,
11,2022-04-24 05:07:00.066999808+00:00,70.940433,
12,2022-04-24 05:07:30.066999808+00:00,75.524454,
