,time,values,metric data
0,2022-04-24 09:15:46.640000+00:00,2.760932,__name__: NooBaa_Endpoint_process_cpu_seconds_total
1,2022-04-24 09:16:16.640000+00:00,4.684293,cluster: moc/smaug
2,2022-04-24 09:16:46.640000+00:00,7.591676,endpoint: metrics
3,2022-04-24 09:17:16.640000+00:00,8.817456,instance: 10.130.7.214:7004
4,2022-04-24 09:17:46.640000+00:00,19.020163,job: s3
5,2022-04-24 09:18:16.640000+00:00,24.168217000000002,namespace: openshift-storage
6,2022-04-24 09:18:46.640000+00:00,36.890357,pod: noobaa-endpoint-84799dddf5-lzrmh
7,2022-04-24 09:19:16.640000+00:00,42.366407,prometheus: openshift-monitoring/k8s
8,2022-04-24 09:19:46.640000+00:00,47.941361,service: s3
9,2022-04-24 09:20:16.640000+00:00,52.038885,tenant_id: moc-smaug
10,2022-04-24 09:20:46.640000+00:00,55.170162,
11,2022-04-24 09:21:16.640000+00:00,56.021592999999996,
12,2022-04-24 09:21:46.640000+00:00,58.12262299999999,
13,2022-04-24 09:22:16.640000+00:00,60.34701099999999,
14,2022-04-24 09:22:46.640000+00:00,64.687519,
15,2022-04-24 09:23:16.640000+00:00,69.543197,
16,2022-04-24 09:23:46.640000+00:00,75.331705,
17,2022-04-24 09:24:16.640000+00:00,80.46458999999999,
18,2022-04-24 09:24:46.640000+00:00,87.155672,
19,2022-04-24 09:25:16.640000+00:00,92.34895399999999,
20,2022-04-24 09:25:46.640000+00:00,98.66721499999998,
21,2022-04-24 09:26:16.640000+00:00,103.91381899999999,
22,2022-04-24 09:26:46.640000+00:00,110.61738599999998,
23,2022-04-24 09:27:16.640000+00:00,115.45756199999998,
