,time,values,metric data
0,1650776509.575,3.703606,__name__: NooBaa_Endpoint_process_cpu_seconds_total
1,1650776520.067,6.792576,cluster: moc/smaug
2,1650776550.067,19.646003,endpoint: metrics
3,1650776580.067,28.246718,instance: 10.130.7.157:7004
4,1650776610.067,33.654649,job: s3
5,1650776640.067,39.757491,namespace: openshift-storage
6,1650776670.067,45.062481000000005,pod: noobaa-endpoint-84799dddf5-hlvf5
7,1650776700.067,49.49124200000001,prometheus: openshift-monitoring/k8s
8,1650776730.067,53.78026800000001,service: s3
9,1650776760.067,58.00459300000001,tenant_id: moc-smaug
10,1650776790.067,64.63653000000001,
11,1650776820.067,70.940433,
12,1650776850.067,75.524454,
