,time,values,metric data
0,1650754913.679,7.317622,__name__: NooBaa_Endpoint_process_cpu_seconds_total
1,1650754924.687,8.334622,cluster: moc/smaug
2,1650754954.687,13.310588,endpoint: metrics
3,1650754984.687,19.381904,instance: 10.130.7.135:7004
4,1650755014.687,27.800628,job: s3
5,1650755044.687,36.223788,namespace: openshift-storage
6,1650755074.687,42.81342,pod: noobaa-endpoint-84799dddf5-zhgwr
7,1650755104.687,48.577414000000005,prometheus: openshift-monitoring/k8s
8,1650755134.687,55.319103000000005,service: s3
9,1650755164.687,62.418285000000004,tenant_id: moc-smaug
10,1650755194.687,68.790248,
11,1650755224.687,72.843362,
12,1650755254.687,79.040656,
