,time,values,metric data
0,1650707355.882,7773.539066999945,__name__: NooBaa_Endpoint_process_cpu_seconds_total
1,1650707367.255,7773.575845999945,cluster: emea/rick
2,1650707397.255,7773.657475999946,endpoint: metrics
3,1650707427.255,7773.738041999946,instance: 10.129.2.15:7004
4,1650707457.255,7773.823678999946,job: s3
5,1650707487.255,7773.902255999947,namespace: openshift-storage
6,1650707517.255,7773.989302999947,pod: noobaa-endpoint-6568cc7485-vs7s7
7,1650707547.255,7774.065717999947,prometheus: openshift-monitoring/k8s
8,1650707577.255,7774.210706999947,service: s3
9,1650707607.255,7774.290609999947,tenant_id: emea-rick
10,1650707637.255,7774.373834999947,
11,1650707667.255,7774.454151999947,
12,1650707697.255,7774.526342999947,
13,1650707727.255,7774.606765999946,
14,1650707757.255,7774.688675999946,
15,1650707787.255,7774.779951999946,
16,1650707817.255,7774.870759999946,
17,1650707847.255,7774.956311999947,
18,1650707877.255,7775.036962999947,
19,1650707907.255,7775.1164709999475,
20,1650707937.255,7775.206952999947,
21,1650707967.255,7775.287477999947,
22,1650707997.255,7775.367802999947,
23,1650708027.255,7775.453141999948,
24,1650708057.255,7775.542171999948,
25,1650708087.255,7775.621057999948,
26,1650708117.255,7775.698814999947,
27,1650708147.255,7775.7753699999475,
28,1650708177.255,7775.8565789999475,
29,1650708207.255,7775.945208999948,
30,1650708237.255,7776.025571999948,
31,1650708267.255,7776.116332999948,
32,1650708297.255,7776.199064999948,
33,1650708327.255,7776.286732999948,
34,1650708357.255,7776.369485999949,
35,1650708387.255,7776.448462999949,
36,1650708417.255,7776.529099999948,
37,1650708447.255,7776.613211999948,
38,1650708477.255,7776.702999999949,
39,1650708507.255,7776.779102999949,
40,1650708537.255,7776.859614999949,
41,1650708567.255,7777.004236999949,
42,1650708597.255,7777.086955999949,
43,1650708627.255,7777.162611999949,
44,1650708657.255,7777.248758999949,
45,1650708687.255,7777.328251999949,
46,1650708717.255,7777.411088999949,
47,1650708747.255,7777.508438999949,
48,1650708777.255,7777.595491999949,
49,1650708807.255,7777.673550999949,
50,1650708837.255,7777.751942999948,
51,1650708867.255,7777.829879999948,
52,1650708897.255,7777.926016999949,
53,1650708927.255,7778.0060779999485,
54,1650708957.255,7778.084617999948,
55,1650708987.255,7778.164243999948,
56,1650709017.255,7778.241084999948,
57,1650709047.255,7778.319332999948,
58,1650709077.255,7778.402644999947,
59,1650709107.255,7778.481144999948,
60,1650709137.267,7778.5780319999485,
61,1650709167.255,7778.665808999949,
62,1650709197.255,7778.750974999949,
63,1650709227.255,7778.833717999949,
64,1650709257.255,7778.916517999949,
65,1650709287.255,7778.997624999949,
66,1650709317.255,7779.076136999949,
67,1650709347.255,7779.156476999949,
68,1650709377.255,7779.237053999948,
69,1650709407.255,7779.316660999948,
70,1650709437.255,7779.405599999948,
71,1650709467.255,7779.472607999948,
72,1650709497.255,7779.572434999948,
73,1650709527.255,7779.658090999948,
74,1650709557.255,7779.801055999948,
75,1650709587.255,7779.884925999949,
76,1650709617.255,7779.966852999948,
77,1650709647.255,7780.050968999948,
78,1650709677.255,7780.131465999948,
79,1650709707.255,7780.210321999948,
80,1650709737.255,7780.2959649999475,
81,1650709767.255,7780.378645999947,
82,1650709797.255,7780.462125999947,
83,1650709827.255,7780.543682999947,
84,1650709857.255,7780.636743999947,
85,1650709887.255,7780.711683999946,
86,1650709917.255,7780.7825669999465,
87,1650709947.255,7780.867865999947,
88,1650709977.255,7780.964979999947,
89,1650710007.255,7781.049324999947,
90,1650710037.255,7781.130038999947,
91,1650710067.255,7781.2136569999475,
92,1650710097.255,7781.294816999948,
93,1650710127.255,7781.379280999948,
94,1650710157.255,7781.459539999947,
95,1650710187.255,7781.537669999947,
96,1650710217.255,7781.617951999947,
97,1650710247.255,7781.6984349999475,
98,1650710277.255,7781.7905489999475,
99,1650710307.255,7781.868948999947,
100,1650710337.255,7781.935703999947,
101,1650710367.255,7782.015838999947,
102,1650710397.255,7782.109276999947,
103,1650710427.255,7782.191656999947,
104,1650710457.255,7782.278632999946,
105,1650710487.255,7782.3642489999465,
106,1650710517.255,7782.450249999946,
107,1650710547.255,7782.599702999946,
108,1650710577.255,7782.679571999946,
109,1650710607.255,7782.757663999947,
110,1650710637.255,7782.836567999947,
111,1650710667.255,7782.920587999946,
