,time,values,metric data
0,1650707369.36,95109.7224920004,__name__: NooBaa_Endpoint_process_cpu_seconds_total
1,1650707379.445,95114.0932400004,cluster: moc/smaug
2,1650707409.445,95121.4730810004,endpoint: metrics
3,1650707439.445,95135.94537200041,instance: 10.129.0.40:7004
4,1650707469.445,95149.0182560004,job: s3
5,1650707499.445,95159.0121500004,namespace: openshift-storage
6,1650707529.445,95166.63460200041,pod: noobaa-endpoint-84799dddf5-j6f6m
7,1650707559.445,95177.59576700041,prometheus: openshift-monitoring/k8s
8,1650707589.445,95181.96349700043,service: s3
9,1650707619.445,95191.34155100043,tenant_id: moc-smaug
10,1650707649.445,95201.50338400043,
11,1650707679.445,95212.34226700044,
12,1650707709.445,95221.64526800044,
13,1650707739.445,95228.77121700044,
14,1650707769.445,95240.83754000043,
15,1650707799.445,95252.22058400042,
16,1650707829.445,95254.40588000041,
17,1650707859.445,95259.84576900041,
18,1650707889.445,95261.1258420004,
19,1650707919.445,95275.0142450004,
20,1650707949.445,95289.9625080004,
21,1650707979.445,95304.3360490004,
22,1650708009.445,95314.7804370004,
23,1650708039.445,95329.7729720004,
24,1650708069.445,95342.9119200004,
25,1650708099.445,95356.1961220004,
26,1650708129.445,95370.7173140004,
27,1650708159.445,95384.9569300004,
28,1650708189.445,95393.8118960004,
29,1650708219.445,95404.5221470004,
30,1650708249.445,95416.35279800041,
31,1650708279.445,95432.10351700042,
32,1650708309.445,95443.52218100043,
33,1650708339.445,95458.94338800044,
34,1650708369.445,95472.29910500043,
35,1650708399.445,95485.61319200044,
36,1650708429.445,95498.88966700043,
37,1650708459.445,95512.79222300043,
38,1650708489.445,95524.82563400044,
39,1650708519.445,95537.58236100044,
40,1650708549.445,95548.20248200044,
41,1650708579.445,95556.77690300044,
42,1650708609.445,95565.37993700044,
43,1650708639.445,95577.12132200044,
44,1650708669.445,95585.15109000045,
45,1650708699.445,95595.38507800046,
46,1650708729.445,95606.21038900047,
47,1650708759.445,95618.01094600046,
48,1650708789.445,95628.24168000047,
49,1650708819.445,95637.03752600048,
50,1650708849.445,95649.26872800048,
51,1650708879.445,95661.81526400047,
52,1650708909.445,95677.88561300047,
53,1650708939.445,95690.85691600047,
