,time,values,metric data
0,1650764653.459,5.244998,__name__: NooBaa_Endpoint_process_cpu_seconds_total
1,1650764672.722,11.55467,cluster: moc/smaug
2,1650764702.722,25.424088,endpoint: metrics
3,1650764732.722,40.286561000000006,instance: 10.129.8.182:7004
4,1650764762.722,48.908502000000006,job: s3
5,1650764792.722,58.687495000000006,namespace: openshift-storage
6,1650764822.722,68.91443400000001,pod: noobaa-endpoint-84799dddf5-9dqdj
7,1650764852.722,78.77635600000002,prometheus: openshift-monitoring/k8s
8,1650764882.722,88.35269200000002,service: s3
9,1650764912.722,98.18437100000003,tenant_id: moc-smaug
10,1650764942.722,109.31381100000003,
11,1650764972.722,119.28358700000003,
12,1650765002.722,129.13603300000003,
