,time,values,metric data
0,1650739254.425,9.512135,__name__: NooBaa_Endpoint_process_cpu_seconds_total
1,1650739266.679,9.847175,cluster: moc/smaug
2,1650739296.679,21.813747999999997,endpoint: metrics
3,1650739326.679,35.161697,instance: 10.129.8.178:7004
4,1650739356.679,40.978812999999995,job: s3
5,1650739386.679,51.92080699999999,namespace: openshift-storage
6,1650739416.679,57.60753599999999,pod: noobaa-endpoint-84799dddf5-rv4qt
7,1650739446.679,68.05871299999998,prometheus: openshift-monitoring/k8s
8,1650739476.679,74.297193,service: s3
9,1650739506.679,84.216129,tenant_id: moc-smaug
10,1650739536.679,89.138752,
11,1650739566.679,97.263697,
12,1650739596.679,105.75568899999999,
