,time,values,metric data
0,1650762100.507,3.313772,__name__: NooBaa_Endpoint_process_cpu_seconds_total
1,1650762120.531,4.482752,cluster: moc/smaug
2,1650762150.531,11.745018,endpoint: metrics
3,1650762180.531,18.671233,instance: 10.130.7.142:7004
4,1650762210.531,24.206474,job: s3
5,1650762240.531,29.098720999999998,namespace: openshift-storage
6,1650762270.531,32.384882999999995,pod: noobaa-endpoint-84799dddf5-ftd8x
7,1650762300.531,39.068653999999995,prometheus: openshift-monitoring/k8s
8,1650762330.531,43.06890899999999,service: s3
9,1650762360.531,47.57610699999999,tenant_id: moc-smaug
10,1650762390.531,51.772012999999994,
11,1650762420.531,55.350204999999995,
12,1650762450.531,60.091919,
13,1650762480.531,62.491046,
