,time,values,metric data
0,1650731411.205,5.358817,__name__: NooBaa_Endpoint_process_cpu_seconds_total
1,1650731418.177,7.060735,cluster: moc/smaug
2,1650731441.205,9.410247,endpoint: metrics
3,1650731471.205,15.030834,instance: 10.130.7.112:7004
4,1650731501.205,23.098511000000002,job: s3
5,1650731531.205,33.804262,namespace: openshift-storage
6,1650731561.205,41.539321,pod: noobaa-endpoint-84799dddf5-l2bxc
7,1650731591.205,48.480487000000004,prometheus: openshift-monitoring/k8s
8,1650731621.205,59.99038,service: s3
9,1650731651.205,66.726713,tenant_id: moc-smaug
10,1650731681.205,71.785517,
11,1650731711.205,75.036491,
12,1650731741.205,82.716632,
