timestamp,__name__,cluster,label_beta_kubernetes_io_instance_type,label_kubernetes_io_arch,label_node_openshift_io_os_id,label_node_role_kubernetes_io,prometheus,tenant_id,value
1649946082.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946112.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946142.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946172.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946202.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946232.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946262.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946292.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946322.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946352.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946382.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946412.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946442.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946472.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946502.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946532.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946562.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946592.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946622.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946652.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946682.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946712.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946742.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946772.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946802.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946832.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946862.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946892.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946922.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946952.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649946982.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947012.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947042.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947072.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947102.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947132.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947162.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947192.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947222.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947252.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947282.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947312.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947342.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947372.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947402.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947432.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947462.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947492.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947522.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947552.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947582.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947612.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947642.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947672.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947702.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947732.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947762.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947792.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
