,time,values,metric data
0,1650757222.867,8.066241,__name__: NooBaa_Endpoint_process_cpu_seconds_total
1,1650757231.2,12.185232,cluster: moc/smaug
2,1650757252.867,15.916556,endpoint: metrics
3,1650757282.867,20.110433,instance: 10.129.8.181:7004
4,1650757312.867,35.339808000000005,job: s3
5,1650757342.867,49.60152500000001,namespace: openshift-storage
6,1650757372.867,52.09494700000001,pod: noobaa-endpoint-84799dddf5-n5hm8
7,1650757402.867,53.42255100000001,prometheus: openshift-monitoring/k8s
8,1650757432.867,64.89340800000002,service: s3
9,1650757462.867,84.86605300000002,tenant_id: moc-smaug
10,1650757492.867,103.50733400000003,
11,1650757522.867,107.15762400000003,
12,1650757552.867,118.18600100000003,
13,1650757582.867,127.24653000000004,
14,1650757612.867,137.38030500000005,
15,1650757642.867,143.99936100000005,
16,1650757672.867,155.66501600000004,
17,1650757702.867,164.42232800000005,
18,1650757732.867,174.32287900000006,
19,1650757762.867,183.39095200000008,
20,1650757792.867,195.0325530000001,
